bytecount,dur,packetins,pktperflow,byteperflow,pktrate,Pairflow,tx_bytes,rx_bytes,tot_kbps
2438030,135,11888,8602,498916,286,1,4777445,116457462,3650.0
19796958,68,948,8433,8787186,281,1,4282,1172,0.0
82236,4,4381,0,0,0,1,6649422,149311548,604.0
6592686,384,12106,8098,469684,269,1,12818919,14105857,489.0
12947636,27,1699,0,0,0,0,50279933,1354,7331.0
6814014,410,3982,8386,486388,279,1,5948,6369442,121.0
91877308,280,1943,9269,9658298,308,0,3845,1402,0.0
26854,0,5104,0,0,0,1,4178,1172,0.0
49305356,150,1943,9354,9746868,311,0,580813093,2586,19164.0
2029420,107,7385,8932,518056,297,1,7760924,133774906,4381.0
3994170,228,3982,9013,522754,300,1,3105823,2888368,265.0
82259648,256,7916,8825,9195650,294,0,566379594,5844,2858.0
134383614,467,4440,6027,6280134,200,0,408513239,5205,2222.0
1481994,84,4381,8589,566874,286,1,1490142,41295842,4064.0
6631198,387,1143,8578,497524,285,1,19422914,306532072,384.0
124364784,390,1943,7952,8285984,265,0,3972,1472,0.0
7536404,463,6696,3221,186818,107,1,320770561,26925432,453.0
7512740,457,10817,8168,473744,272,1,6112176,151754204,118.0
126750964,442,4920,7915,8247430,263,1,271227941,269150054,0.0
81550046,280,1057,8944,9319648,298,1,4575,1242,0.0
87953136,270,1943,9334,9726028,311,0,801636169,3258,12685.0
4695462,293,12106,8917,481518,297,1,5139,1242,0.0
107334336,330,1943,9266,9655172,308,0,4392,251275552,2568.0
85599258,263,1931,9245,9633290,308,0,4127,262354351,2566.0
74164350,230,1943,9243,9631206,308,0,4224,134772718,3838.0
51658360,125,4440,5387,5742542,179,0,4449,253465925,2188.0
37030596,113,1931,9423,9818766,314,0,3413,3539,0.0
23285574,70,1298,9741,10150122,324,0,3309,1422,0.0
9091008,295,10817,16492,890568,549,1,305733191,22639373,618.0
7492324,447,7385,8003,464174,266,1,4033,3590,0.0
4704496,289,13231,8175,474150,272,1,3964523,3686840,251.0
62920128,220,1057,8810,9180020,293,1,63031069,36043,2439.0
44473602,160,1057,8867,9239414,295,1,44627553,30079,2458.0
48229422,201,948,9130,9486084,304,1,124869269,48464577,7700.0
5573880,351,8050,8382,452628,279,1,5358,1312,0.0
104283360,323,1931,8621,8983082,287,0,3826,1242,0.0
5418012,323,3982,8588,498104,286,1,12786864,156717704,377.0
10867018,33,1109,9457,9854194,315,0,3446,75055080,6456.0
27205578,83,1931,9427,9822934,314,0,3413,3539,0.0
1398148,74,11888,8373,485634,279,1,1992464,1540589,492.0
83338118,266,2053,9018,9396756,300,1,219752671,138127699,7604.0
34966394,107,7916,9380,9773960,312,0,4178,3590,0.0
7396566,452,8050,7014,406812,233,1,21332401,167924198,209.0
83436066,287,4440,8683,9047686,289,0,4053,1242,0.0
2848352,5,4415,-83796,-89326536,-2794,0,3801,1242,0.0
8081752,30,4920,7513,7828546,250,1,135590116,166465604,4174.0
131957838,437,7916,7165,7465930,238,0,680345815,3062,4005.0
7551374,23,1931,0,0,0,0,3362,3236,0.0
5686080,294,11888,8528,562860,284,1,238868030,9537645,7552.0
2647722,9,1049,0,0,0,1,2824803,2808608,1494.0
82235682,250,1943,9338,9730196,311,0,3845,1402,0.0
5065308,318,12106,8422,454788,280,1,12144745,10993101,500.0
123761466,413,1931,6237,6498954,207,0,4316,143926522,0.0
135458958,450,1943,2604,2713368,86,0,4976,395627658,2151.0
10976602,22,1086,0,0,0,0,3143,11303767,3013.0
13670640,450,13231,15160,818640,505,1,174300801,175332484,108.0
83546518,291,4920,8118,8458956,270,1,105759,135561740,0.0
103220520,329,2053,9345,9737490,311,1,73611827,239050999,5171.0
135434992,470,1943,6701,6982442,223,0,3747,1562,0.0
135655412,1850,2063,29,2842,0,1,105803,135561902,0.0
4520172,258,11471,8536,495088,284,1,4534775,4218852,253.0
90897828,287,7916,8223,8568366,274,0,655718171,5657,2277.0
1359612,74,16567,9316,503064,310,1,5926,1382,0.0
67780016,237,4440,9008,9386336,300,0,215596881,4253,6061.0
123500966,399,948,9084,9465528,302,1,4575,1242,0.0
14039730,499,11471,2538,137052,84,1,6437051,147084102,0.0
3809214,114,6696,18716,1010664,623,1,21395460,299516692,4377.0
8321196,17,5882,0,0,0,0,422454306,5396,0.0
51873886,166,2385,7886,8217212,262,0,168355535,3833,2759.0
54328838,167,7916,9225,9612450,307,0,526874546,5760,3838.0
5471442,349,2373,7395,399330,246,1,446716873,19265697,105.0
