bytecount,dur,packetins,pktperflow,byteperflow,pktrate,Pairflow,tx_bytes,rx_bytes,tot_kbps
864.0,1,2,432.0,648.0,2000000.0,0,864.0,0.0,864000000.0
1136.0,1,2,568.0,852.0,2000000.0,0,1136.0,0.0,1136000000.0
1192.0,1,2,596.0,894.0,2000000.0,0,1192.0,0.0,1192000000.0
914.0,1,2,457.0,685.5,2000000.0,0,914.0,0.0,914000000.0
934.0,2,2,467.0,700.5,1000000.0,0,934.0,0.0,467000000.0
900.0,2,2,450.0,675.0,1000000.0,0,900.0,0.0,450000000.0
1972.0,2,2,986.0,1479.0,1000000.0,0,1972.0,0.0,986000000.0
806.0,1,2,403.0,604.5,2000000.0,0,806.0,0.0,806000000.0
876.0,1,2,438.0,657.0,2000000.0,0,876.0,0.0,876000000.0
816.0,2,2,408.0,612.0,1000000.0,0,816.0,0.0,408000000.0
1180.0,1,2,590.0,885.0,2000000.0,0,1180.0,0.0,1180000000.0
810.0,1,2,405.0,607.5,2000000.0,0,810.0,0.0,810000000.0
910.0,1,2,455.0,682.5,2000000.0,0,910.0,0.0,910000000.0
1516.0,50,2,758.0,1137.0,40000.0,0,1516.0,0.0,30320000.0
1234.0,1,2,617.0,925.5,2000000.0,0,1234.0,0.0,1234000000.0
2026.0,1,2,1013.0,1519.5,2000000.0,0,2026.0,0.0,2026000000.0
1130.0,1,2,565.0,847.5,2000000.0,0,1130.0,0.0,1130000000.0
1272.0,2,2,636.0,954.0,1000000.0,0,1272.0,0.0,636000000.0
1416.0,2,2,708.0,1062.0,1000000.0,0,1416.0,0.0,708000000.0
810.0,1,2,405.0,607.5,2000000.0,0,810.0,0.0,810000000.0
1546.0,2,2,773.0,1159.5,1000000.0,0,1546.0,0.0,773000000.0
1682.0,2,2,841.0,1261.5,1000000.0,0,1682.0,0.0,841000000.0
956.0,1,2,478.0,717.0,2000000.0,0,956.0,0.0,956000000.0
992.0,1,2,496.0,744.0,2000000.0,0,992.0,0.0,992000000.0
2560.0,1,2,1280.0,1920.0,2000000.0,0,2560.0,0.0,2560000000.0
820.0,1,2,410.0,615.0,2000000.0,0,820.0,0.0,820000000.0
816.0,1,2,408.0,612.0,2000000.0,0,816.0,0.0,816000000.0
842.0,47,2,421.0,631.5,42553.19148936171,0,842.0,0.0,17914893.617021278
890.0,1,2,445.0,667.5,2000000.0,0,890.0,0.0,890000000.0
914.0,2,2,457.0,685.5,1000000.0,0,914.0,0.0,457000000.0
918.0,1,2,459.0,688.5,2000000.0,0,918.0,0.0,918000000.0
862.0,48,2,431.0,646.5,41666.66666666666,0,862.0,0.0,17958333.333333332
840.0,1,2,420.0,630.0,2000000.0,0,840.0,0.0,840000000.0
1222.0,43,2,611.0,916.5,46511.62790697674,0,1222.0,0.0,28418604.65116279
2944.0,2,2,1472.0,2208.0,1000000.0,0,2944.0,0.0,1472000000.0
832.0,1,2,416.0,624.0,2000000.0,0,832.0,0.0,832000000.0
880.0,1,2,440.0,660.0,2000000.0,0,880.0,0.0,880000000.0
1374.0,1,2,687.0,1030.5,2000000.0,0,1374.0,0.0,1374000000.0
910.0,1,2,455.0,682.5,2000000.0,0,910.0,0.0,910000000.0
1180.0,1,2,590.0,885.0,2000000.0,0,1180.0,0.0,1180000000.0
1002.0,1,2,501.0,751.5,2000000.0,0,1002.0,0.0,1002000000.0
914.0,1,2,457.0,685.5,2000000.0,0,914.0,0.0,914000000.0
1232.0,1,2,616.0,924.0,2000000.0,0,1232.0,0.0,1232000000.0
966.0,1,2,483.0,724.5,2000000.0,0,966.0,0.0,966000000.0
1160.0,1,2,580.0,870.0,2000000.0,0,1160.0,0.0,1160000000.0
862.0,1,2,431.0,646.5,2000000.0,0,862.0,0.0,862000000.0
990.0,1,2,495.0,742.5,2000000.0,0,990.0,0.0,990000000.0
956.0,1,2,478.0,717.0,2000000.0,0,956.0,0.0,956000000.0
944.0,1,2,472.0,708.0,2000000.0,0,944.0,0.0,944000000.0
900.0,1,2,450.0,675.0,2000000.0,0,900.0,0.0,900000000.0
1094.0,1,2,547.0,820.5,2000000.0,0,1094.0,0.0,1094000000.0
1180.0,1,2,590.0,885.0,2000000.0,0,1180.0,0.0,1180000000.0
854.0,1,2,427.0,640.5,2000000.0,0,854.0,0.0,854000000.0
914.0,1,2,457.0,685.5,2000000.0,0,914.0,0.0,914000000.0
1090.0,1,2,545.0,817.5,2000000.0,0,1090.0,0.0,1090000000.0
1180.0,1,2,590.0,885.0,2000000.0,0,1180.0,0.0,1180000000.0
1136.0,46,2,568.0,852.0,43478.260869565216,0,1136.0,0.0,24695652.173913043
1282.0,1,2,641.0,961.5,2000000.0,0,1282.0,0.0,1282000000.0
1278.0,2,2,639.0,958.5,1000000.0,0,1278.0,0.0,639000000.0
896.0,2,2,448.0,672.0,1000000.0,0,896.0,0.0,448000000.0
892.0,1,2,446.0,669.0,2000000.0,0,892.0,0.0,892000000.0
962.0,1,2,481.0,721.5,2000000.0,0,962.0,0.0,962000000.0
980.0,1,2,490.0,735.0,2000000.0,0,980.0,0.0,980000000.0
1350.0,1,2,675.0,1012.5,2000000.0,0,1350.0,0.0,1350000000.0
2200.0,1,2,1100.0,1650.0,2000000.0,0,2200.0,0.0,2200000000.0
836.0,1,2,418.0,627.0,2000000.0,0,836.0,0.0,836000000.0
808.0,1,2,404.0,606.0,2000000.0,0,808.0,0.0,808000000.0
806.0,1,2,403.0,604.5,2000000.0,0,806.0,0.0,806000000.0
2944.0,2,2,1472.0,2208.0,1000000.0,0,2944.0,0.0,1472000000.0
992.0,47,2,496.0,744.0,42553.19148936171,0,992.0,0.0,21106382.978723407
888.0,49,2,444.0,666.0,40816.32653061225,0,888.0,0.0,18122448.97959184
888.0,1,2,444.0,666.0,2000000.0,0,888.0,0.0,888000000.0
1150.0,2,2,575.0,862.5,1000000.0,0,1150.0,0.0,575000000.0
848.0,1,2,424.0,636.0,2000000.0,0,848.0,0.0,848000000.0
916.0,1,2,458.0,687.0,2000000.0,0,916.0,0.0,916000000.0
818.0,1,2,409.0,613.5,2000000.0,0,818.0,0.0,818000000.0
898.0,1,2,449.0,673.5,2000000.0,0,898.0,0.0,898000000.0
818.0,1,2,409.0,613.5,2000000.0,0,818.0,0.0,818000000.0
1732.0,1,2,866.0,1299.0,2000000.0,0,1732.0,0.0,1732000000.0
1356.0,2,2,678.0,1017.0,1000000.0,0,1356.0,0.0,678000000.0
928.0,2,2,464.0,696.0,1000000.0,0,928.0,0.0,464000000.0
910.0,1,2,455.0,682.5,2000000.0,0,910.0,0.0,910000000.0
1322.0,1,2,661.0,991.5,2000000.0,0,1322.0,0.0,1322000000.0
1760.0,1,2,880.0,1320.0,2000000.0,0,1760.0,0.0,1760000000.0
958.0,2,2,479.0,718.5,1000000.0,0,958.0,0.0,479000000.0
1138.0,1,2,569.0,853.5,2000000.0,0,1138.0,0.0,1138000000.0
1118.0,2,2,559.0,838.5,1000000.0,0,1118.0,0.0,559000000.0
852.0,2,2,426.0,639.0,1000000.0,0,852.0,0.0,426000000.0
816.0,1,2,408.0,612.0,2000000.0,0,816.0,0.0,816000000.0
1234.0,1,2,617.0,925.5,2000000.0,0,1234.0,0.0,1234000000.0
1222.0,1,2,611.0,916.5,2000000.0,0,1222.0,0.0,1222000000.0
2944.0,2,2,1472.0,2208.0,1000000.0,0,2944.0,0.0,1472000000.0
990.0,1,2,495.0,742.5,2000000.0,0,990.0,0.0,990000000.0
1104.0,1,2,552.0,828.0,2000000.0,0,1104.0,0.0,1104000000.0
1272.0,1,2,636.0,954.0,2000000.0,0,1272.0,0.0,1272000000.0
1760.0,50,2,880.0,1320.0,40000.0,0,1760.0,0.0,35200000.0
1170.0,1,2,585.0,877.5,2000000.0,0,1170.0,0.0,1170000000.0
1136.0,2,2,568.0,852.0,1000000.0,0,1136.0,0.0,568000000.0
876.0,1,2,438.0,657.0,2000000.0,0,876.0,0.0,876000000.0
1030.0,53,2,515.0,772.5,37735.84905660377,0,1030.0,0.0,19433962.264150944
914.0,1,2,457.0,685.5,2000000.0,0,914.0,0.0,914000000.0
822.0,1,2,411.0,616.5,2000000.0,0,822.0,0.0,822000000.0
1002.0,47,2,501.0,751.5,42553.19148936171,0,1002.0,0.0,21319148.936170213
2944.0,1,2,1472.0,2208.0,2000000.0,0,2944.0,0.0,2944000000.0
1412.0,2,2,706.0,1059.0,1000000.0,0,1412.0,0.0,706000000.0
994.0,1,2,497.0,745.5,2000000.0,0,994.0,0.0,994000000.0
1180.0,1,2,590.0,885.0,2000000.0,0,1180.0,0.0,1180000000.0
1048.0,1,2,524.0,786.0,2000000.0,0,1048.0,0.0,1048000000.0
1488.0,1,2,744.0,1116.0,2000000.0,0,1488.0,0.0,1488000000.0
878.0,2,2,439.0,658.5,1000000.0,0,878.0,0.0,439000000.0
856.0,1,2,428.0,642.0,2000000.0,0,856.0,0.0,856000000.0
1760.0,1,2,880.0,1320.0,2000000.0,0,1760.0,0.0,1760000000.0
1492.0,1,2,746.0,1119.0,2000000.0,0,1492.0,0.0,1492000000.0
2944.0,1,2,1472.0,2208.0,2000000.0,0,2944.0,0.0,2944000000.0
822.0,1,2,411.0,616.5,2000000.0,0,822.0,0.0,822000000.0
900.0,1,2,450.0,675.0,2000000.0,0,900.0,0.0,900000000.0
