bytecount,dur,packetins,pktperflow,byteperflow,pktrate,Pairflow,tx_bytes,rx_bytes,tot_kbps
44786,468,2364,29,2842,0,1,40983,37628,0.0
10630278,360,18351,15266,824364,508,1,466233627,34059510,0.0
73234336,150,10957,13645,14917082,454,1,14695284,325158222,8487.0
46158,482,4942,29,2842,0,1,105836,101468,0.0
97510,1023,4920,28,2744,0,1,236521305,135625431,4977.0
74970,783,3021,29,2842,0,1,135554738,135206780,2.0
2726556,144,4918,9841,649506,328,1,16723167,231798196,4095.0
58310,609,2053,29,2842,0,1,535355165,534944282,4598.0
1879200,99,18351,8956,519448,298,1,30332108,470040240,12963.0
102337228,208,2373,13460,14748200,448,1,6533204,147119388,0.0
2940,31,1278,29,2842,0,0,5016,1562,0.0
109137080,226,8803,13555,14449630,451,0,6203,785313841,3839.0
686,8,2390,0,0,0,1,22608,18938,2.0
7840,82,4942,29,2842,0,1,135825351,406397267,6.0
50176,523,4920,30,2940,1,1,135678295,393505551,4709.0
83300,871,2448,30,2940,1,1,5268,1312,0.0
30576,319,2053,29,2842,0,1,138126657,219751629,7604.0
120313024,250,1943,13537,14430442,451,0,3735,3413,0.0
137541716,282,7916,13532,14425112,451,0,4498,182881464,6438.0
76884184,159,1943,13533,14426178,451,0,3775,1242,0.0
24696,258,2364,29,2842,0,1,37460973,38275761,5734.0
94420950,195,7894,13531,14424046,451,0,4304,110593902,6476.0
92022,961,3421,29,2842,0,0,94790,91120,0.0
90454,943,4942,30,2940,1,1,98690,135554160,0.0
22148,231,3421,29,2842,0,0,5141,1472,0.0
77616,811,1286,29,2842,0,0,135380798,135478942,2.0
2239404,103,4675,9874,651684,329,1,4141686,99691626,4119.0
18326,191,1264,30,2940,1,0,42896793,42896303,4908.0
1631016,106,25224,8897,480438,296,1,17425452,19452746,531.0
96922,1011,3421,30,2940,1,0,135791114,208233402,5015.0
3119994,173,18351,8837,512546,294,1,47425443,607549037,4877.0
21854,228,2364,30,2940,1,1,16966,13814,0.0
169736,1581,2800,29,2842,0,1,262423,271180969,2.0
74774,781,3443,29,2842,0,0,406535533,135517557,2.0
52528,549,2053,29,2842,0,1,135765025,271211731,2.0
63567712,130,1931,13532,14425112,451,0,3539,3343,0.0
72814,761,3443,29,2842,0,0,135532771,406641779,2.0
126365772,263,1931,13532,14425112,451,0,3649,1242,0.0
77616,811,3443,29,2842,0,0,106025,102068,0.0
97706,1018,3024,30,2940,1,1,135466151,50186984,2743.0
77861280,159,16540,13320,14746128,444,1,3352221,78060132,4085.0
96922,1013,4920,29,2842,0,1,200357664,135607798,4393.0
137533188,285,8803,13393,14276938,446,0,700128491,5951,0.0
36652,382,4942,30,2940,1,1,135835557,406407515,4.0
